"","DEM_PC_UTM","Slope_PC","hazard"
"1",384,25.42593,0
"2",110,33.32457,0
"3",218,33.63253,0
"4",96,28.33403,0
"5",115,29.20467,0
"6",381,23.9643,0
"7",391,24.58208,0
"8",342,24.39411,0
"9",420,33.99104,0
"10",409,28.70737,0
"11",392,32.65767,0
"12",87,31.48887,0
"13",78,29.33584,0
"14",147,31.31012,0
"15",233,25.70044,0
"16",359,24.26459,0
"17",186,29.97779,0
"18",212,30.19007,0
"19",322,27.4486,0
"20",354,25.27437,0
"21",2,0,0
"22",128,32.25861,0
"23",31,0,0
"24",218,29.22047,0
"25",5,0,0
"26",2,0,0
"27",181,26.03599,0
"28",251,28.05968,0
"29",177,23.7063,0
"30",224,36.19746,0
"31",477,27.56683,0
"32",113,25.6825,0
"33",139,23.99694,0
"34",144,27.73035,0
"35",73,26.09655,0
"36",106,31.63162,0
"37",81,25.86585,0
"38",145,27.38108,0
"39",102,32.82669,0
"40",68,23.94796,0
"41",364,36.61248,0
"42",287,27.33394,0
"43",302,24.26459,0
"44",275,32.33833,0
"45",76,23.99694,0
"46",400,33.73791,0
"47",95,30.77036,0
"48",212,29.51775,0
"49",223,51.27008,0
"50",4,0,0
"51",2,0,0
"52",310,27.99179,0
"53",102,27.73899,0
"54",195,45.86859,0
"55",134,28.28259,0
"56",112,23.5878,0
"57",1,0,0
"58",1,0,0
"59",197,41.29833,0
"60",92,25.13995,0
"61",170,27.10071,0
"62",200,28.95522,0
"63",424,25.26098,0
"64",443,25.6825,0
"65",162,26.27218,0
"66",134,23.8221,0
"67",137,24.81099,0
"68",162,23.96793,0
"69",232,24.43294,0
"70",166,39.08144,0
"71",148,23.65642,0
"72",5,0,0
"73",242,29.43614,0
"74",60,10.33463,1
"75",49,4.51635,1
"76",29,9.0781,1
"77",64,3.67018,1
"78",36,19.50911,1
"79",57,16.79465,1
"80",27,9.24162,1
"81",44,9.87218,1
"82",44,15.27011,1
"83",47,5.80064,1
"84",74,12.36077,1
"85",28,1.99562,1
"86",23,0.74398,1
"87",29,10.54761,1
"88",11,1.66322,1
"89",10,0.33273,1
"90",22,8.36432,1
"91",58,11.85267,1
"92",29,8.422,1
"93",23,15.28986,1
"94",17,13.03014,1
"95",25,8.58633,1
"96",20,6.16538,1
"97",30,23.58223,1
"98",26,7.72077,1
"99",21,6.09423,1
"100",71,4.93427,1
"101",18,2.84059,1
"102",18,2.84059,1
"103",23,7.50055,1
"104",32,8.49194,1
"105",66,15.29643,1
"106",76,11.23514,1
"107",50,1.66322,1
"108",46,3.7591,1
"109",46,1.93944,1
"110",45,1.66322,1
"111",69,12.95858,1
"112",71,18.10625,1
"113",52,3.67018,1
"114",67,3.13591,1
"115",60,10.3295,1
"116",42,6.2879,1
"117",52,13.08153,1
"118",73,13.05389,1
"119",74,12.70861,1
"120",105,4.90083,1
"121",146,19.48486,1
"122",127,16.51002,1
"123",80,15.31942,1
"124",60,19.32135,1
"125",111,1.79127,1
"126",108,9.0781,1
"127",76,10.10102,1
"128",80,6.96097,1
"129",71,8.28676,1
"130",62,6.70663,1
"131",77,9.69259,1
"132",62,5.97675,1
"133",70,3.15344,1
"134",44,5.64796,1
"135",56,3.71491,1
"136",63,6.09423,1
"137",64,14.31245,1
"138",44,7.78349,1
"139",41,7.08458,1
"140",44,3.38932,1
"141",46,4.00019,1
"142",41,1.88157,1
"143",43,4.51635,1
"144",31,9.33368,1
"145",39,6.82708,1
"146",33,13.95891,1
