lon,lat,slope_m
90.09000,23.06100,0.74224
90.10900,23.05900,0.22012
90.11400,23.04600,0.34242
90.87800,23.44300,0.33897
90.88100,23.61200,1.00625
90.89900,23.59300,0.52918
90.91500,23.67200,0.53687
90.91300,23.72800,0.21465
90.60400,23.85100,0.54633
90.64300,23.87600,0.63800
90.70100,23.84300,0.51851
90.24000,23.65200,0.29155
90.25700,23.64400,0.49252
90.23800,23.57300,0.31586
90.23600,23.56700,0.34546
90.23800,23.56400,0.23165
90.09900,23.54800,0.00000
90.14000,23.50200,0.00000
90.19800,23.45700,0.00000
90.21100,23.45700,0.00000
90.23000,23.45100,0.00000
90.29100,23.43000,0.00000
90.34000,23.42000,0.00000
90.39100,23.40200,0.00000
90.57700,23.41200,0.00000
90.71700,23.73500,0.00000
90.61400,23.08800,0.00000
90.11900,23.06600,0.29893
90.52300,23.96200,0.37233
90.32700,23.81000,0.53706
90.96000,23.68300,0.87039
90.53900,23.50200,0.51134
90.53900,23.52200,0.74914
90.19300,23.85700,0.34340
90.02400,23.41700,0.79568
90.78300,23.61200,0.51184
90.49000,23.81200,0.52204
90.49400,23.96000,0.23725
90.22400,23.75700,0.37439
